estnet,numgt,numprocs,probQR,propQuartets,whichSNaQ,runtime,netRF,majortreeRF,mean_gtee,ntaxa,nhybrids_true,nhybrids_est,ils,replicateid
"(9,(((6,5):2.1347594942832107,((1,#H11:::0.26000146971726645):0.05153679726467275,(2,(3,(4)#H11:::0.7399985302827335):0.3061481605334203):1.0170640473466848):0.6056703247023604):0.5518267384157485,(8,7):2.866459427499822):0.49028618403023694,10);",300,8,0.0,1.0,1,958.894962337,4,0,0.2590474500000001,10,1,1,med,1
"(10,9,(((6,5):1.6859012934204485,(1,((2,(3,(4)#H11:::0.5169578806110878):0.7380004392458871):0.9858406923526182,#H11:::0.4830421193889122):0.2236714390722291):0.4730539038773179):0.6784609692732652,(7,8):2.29623070406923):0.5942694032857911);",300,8,0.0,1.0,1,1082.162158493,4,0,0.2709522100000001,10,1,1,med,2
"(9,((8,7):2.5175468866213553,((6,5):2.133034966506016,((4,(3,(2)#H11:::0.7215620052974789):0.44665465652294856):1.070421381858921,(1,#H11:::0.27843799470252106):0.041107165402783905):0.6591879633907866):0.5198325391764006):0.5831841803554636,10);",300,16,0.0,1.0,1,1123.936681928,4,2,0.25571411000000005,10,1,1,med,6
"(9,(((6,5):2.1347594942832107,((1,#H11:::0.26000146971726645):0.05153679726467275,(2,(3,(4)#H11:::0.7399985302827335):0.3061481605334203):1.0170640473466848):0.6056703247023604):0.5518267384157485,(8,7):2.866459427499822):0.49028618403023694,10);",300,4,0.0,1.0,1,1146.728217699,4,0,0.2590474500000001,10,1,1,med,1
"(10,9,(((6,5):1.6859012934204485,(1,((2,(3,(4)#H11:::0.5169578806110878):0.7380004392458871):0.9858406923526182,#H11:::0.4830421193889122):0.2236714390722291):0.4730539038773179):0.6784609692732652,(7,8):2.29623070406923):0.5942694032857911);",300,16,0.0,1.0,1,1185.259411809,4,0,0.2709522100000001,10,1,1,med,2
"(10,((7,8):3.0208463311268066,(((2,(3,4):0.17495910692154037):0.7756325096111725,(1,#H11:0.0::0.2835842168368266):0.04996609898718543):1.0597787050711787,((5,6):1.534092882487027)#H11:2.9145105776616105::0.7164157831631734):0.25045150701178737):0.5743182573860687,9);",300,8,0.0,1.0,1,1210.474385567,4,0,0.25285698000000006,10,1,1,med,3
"(9,((8,7):2.5175468866213553,((6,5):2.133034966506016,((4,(3,(2)#H11:::0.7215620052974789):0.44665465652294856):1.070421381858921,(1,#H11:::0.27843799470252106):0.041107165402783905):0.6591879633907866):0.5198325391764006):0.5831841803554636,10);",300,8,0.0,1.0,1,1227.076206643,4,2,0.25571411000000005,10,1,1,med,6
"(9,((8,7):2.3314923861122767,((6,5):2.0374137814933215,(1,((2,(3)#H11:::0.49821650984514576):0.5161616824774207,(4,#H11:::0.5017834901548542):0.5161616824774207):0.6475277490248056):0.5648036983966457):0.5253888857040692):0.5525800904390867,10);",300,4,0.0,1.0,1,1255.837844064,0,0,0.28333317333333347,10,1,1,med,9
"(10,((7,8):3.0208463311268066,(((2,(3,4):0.17495910692154037):0.7756325096111725,(1,#H11:0.0::0.2835842168368266):0.04996609898718543):1.0597787050711787,((5,6):1.534092882487027)#H11:2.9145105776616105::0.7164157831631734):0.25045150701178737):0.5743182573860687,9);",300,4,0.0,1.0,1,1370.752198661,4,0,0.25285698000000006,10,1,1,med,3
"(10,9,((7,8):2.8740459609598332,((6,5):1.976542721420752,(((4,3):0.13142596694596603,(2,#H11:::0.267767611115774):0.3103872467852555):0.9706781343561217,(1)#H11:::0.7322323888842259):0.36044518982991824):0.5891356870015485):0.5488999308971493);",300,4,0.0,1.0,1,1450.119165766,2,0,0.26904743000000003,10,1,1,med,8
"((((2,3):0.17082398737188012,4):0.45734663149303445,(1)#H11:::0.7454406913982836):0.9732019221645857,(6,5):1.8409270282538892,(((9,10):0.5688233332723799,(8,7):2.9624868033854375):0.4562475966481641,#H11:::0.25455930860171644):0.16814989433237446);",300,16,0.0,1.0,1,1538.448158821,4,2,0.2547617333333335,10,1,1,med,5
"((((2,3):0.17082398737188012,4):0.45734663149303445,(1)#H11:::0.7454406913982836):0.9732019221645857,(6,5):1.8409270282538892,(((9,10):0.5688233332723799,(8,7):2.9624868033854375):0.4562475966481641,#H11:::0.25455930860171644):0.16814989433237446);",300,8,0.0,1.0,1,1610.158367871,4,2,0.2547617333333335,10,1,1,med,5
"(5,6,((((10,(9)#H11:::0.924434274037361):0.6948478801522339,(8,7):2.2648681774204986):0.5697841865098044,(1,((4,3):0.18131469111764478,2):0.7917020080781917):0.584228685480018):0.1954831942183647,#H11:::0.07556572596263897):1.861144673154319);",300,16,0.0,1.0,1,748.681567762,4,0,0.2580950666666668,10,1,1,med,10
"(10,9,(((6,5):1.6859012934204485,(1,((2,(3,(4)#H11:::0.5169578806110878):0.7380004392458871):0.9858406923526182,#H11:::0.4830421193889122):0.2236714390722291):0.4730539038773179):0.6784609692732652,(7,8):2.29623070406923):0.5942694032857911);",300,4,0.0,1.0,1,1655.00550737,4,0,0.2709522100000001,10,1,1,med,2
"(5,6,((((10,(9)#H11:::0.924434274037361):0.6948478801522339,(8,7):2.2648681774204986):0.5697841865098044,(1,((4,3):0.18131469111764478,2):0.7917020080781917):0.584228685480018):0.1954831942183647,#H11:::0.07556572596263897):1.861144673154319);",300,4,0.0,1.0,1,1666.158748212,4,0,0.2580950666666668,10,1,1,med,10
"(9,((8,7):2.80667416918077,((6,5):2.2976425609973403,(1,(((3,#H11:::0.295059044085075):3.5420047377198753,2):0.31769684969652573,(4)#H11:::0.704940955914925):0.6376323590704833):0.560506636610594):0.5964389037286301):0.5751617448409437,10);",300,4,0.0,1.0,1,1794.334734554,4,2,0.24238077333333335,10,1,1,med,7
"(9,(((5,6):2.060295383156256,(1,((2,#H11:::0.504596037672466):0.6582520103266799,(4,(3)#H11:::0.495403962327534):0.6582520103266799):0.7001786332654307):0.5808241453163859):0.6320605271575473,(7,8):2.9035601738350074):0.6516913953463727,10);",300,8,0.0,1.0,1,615.484896061,0,2,0.2328569733333334,10,1,1,med,13
"(9,(((5,6):2.060295383156256,(1,((2,#H11:::0.504596037672466):0.6582520103266799,(4,(3)#H11:::0.495403962327534):0.6582520103266799):0.7001786332654307):0.5808241453163859):0.6320605271575473,(7,8):2.9035601738350074):0.6516913953463727,10);",300,16,0.0,1.0,1,634.781880806,0,2,0.2328569733333334,10,1,1,med,13
"(5,6,((((10,(9)#H11:::0.924434274037361):0.6948478801522339,(8,7):2.2648681774204986):0.5697841865098044,(1,((4,3):0.18131469111764478,2):0.7917020080781917):0.584228685480018):0.1954831942183647,#H11:::0.07556572596263897):1.861144673154319);",300,8,0.0,1.0,1,1029.792882594,4,0,0.2580950666666668,10,1,1,med,10
"(7,8,((9,10):0.5874645977999843,((6,5):2.2208280371424656,(1,((2,#H11:::0.4410223453685542):0.7258589273197971,(4,(3)#H11:::0.5589776546314458):0.7258589273197971):0.7670787375406446):0.6842890113810877):0.5849665149001433):2.997982134670477);",300,16,0.0,1.0,1,979.506355228,0,0,0.2428569633333334,10,1,1,med,11
"(8,7,((9,10):0.6889397293667503,((6,5):1.8543258747795337,((4,(3,(2)#H11:::0.7035219628466876):0.3898993545829373):1.0307713340912448,(1,#H11:::0.29647803715331245):0.00020187299021230234):0.5136408660551893):0.6601533578311368):2.9995390884060114);",300,16,0.0,1.0,1,460.786383519,4,2,0.2628569633333334,10,1,1,med,15
"(8,7,((9,10):0.6889397293667503,((6,5):1.8543258747795337,((4,(3,(2)#H11:::0.7035219628466876):0.3898993545829373):1.0307713340912448,(1,#H11:::0.29647803715331245):0.00020187299021230234):0.5136408660551893):0.6601533578311368):2.9995390884060114);",300,8,0.0,1.0,1,623.638573242,4,2,0.2628569633333334,10,1,1,med,15
"(9,((8,7):2.5175468866213553,((6,5):2.133034966506016,((4,(3,(2)#H11:::0.7215620052974789):0.44665465652294856):1.070421381858921,(1,#H11:::0.27843799470252106):0.041107165402783905):0.6591879633907866):0.5198325391764006):0.5831841803554636,10);",300,4,0.0,1.0,1,2058.851537576,4,2,0.25571411000000005,10,1,1,med,6
"(7,8,((9,10):0.5874645977999843,((6,5):2.2208280371424656,(1,((2,#H11:::0.4410223453685542):0.7258589273197971,(4,(3)#H11:::0.5589776546314458):0.7258589273197971):0.7670787375406446):0.6842890113810877):0.5849665149001433):2.997982134670477);",300,8,0.0,1.0,1,1086.661846155,0,0,0.2428569633333334,10,1,1,med,11
"((10,9):0.5875219023192585,(7,8):3.3277249041875043,((1,((2,(3,#H11:::0.4681025555111954):0.9168990224646674):0.49419761423864317,(4)#H11:::0.5318974444888046):0.5037694504469106):0.4735720543390004,(6,5):2.0686830230124866):0.5844667434291166);",300,16,0.0,1.0,1,755.820199276,4,2,0.2452379333333334,10,1,1,med,14
"(8,7,((9,10):0.6889397293667503,((6,5):1.8543258747795337,((4,(3,(2)#H11:::0.7035219628466876):0.3898993545829373):1.0307713340912448,(1,#H11:::0.29647803715331245):0.00020187299021230234):0.5136408660551893):0.6601533578311368):2.9995390884060114);",300,4,0.0,1.0,1,886.528618696,4,2,0.2628569633333334,10,1,1,med,15
"(9,(((5,6):2.060295383156256,(1,((2,#H11:::0.504596037672466):0.6582520103266799,(4,(3)#H11:::0.495403962327534):0.6582520103266799):0.7001786332654307):0.5808241453163859):0.6320605271575473,(7,8):2.9035601738350074):0.6516913953463727,10);",300,4,0.0,1.0,1,1157.322218152,0,2,0.2328569733333334,10,1,1,med,13
"(10,9,((8,7):2.4175698953653124,((((4,3):0.1677411075370043,2):0.696142918472871,(1,#H11:0.0::0.1616364767111089):0.1718268856702438):0.8738522323148121,((6,5):1.7072366691688194)#H11:0.27707780219432226::0.8383635232888911):0.37242816457027855):0.623263848337633);",300,16,0.0,1.0,1,1088.757301889,4,0,0.25333314333333345,10,1,1,med,12
"(10,9,((8,7):2.4175698953653124,((((4,3):0.1677411075370043,2):0.696142918472871,(1,#H11:0.0::0.1616364767111089):0.1718268856702438):0.8738522323148121,((6,5):1.7072366691688194)#H11:0.27707780219432226::0.8383635232888911):0.37242816457027855):0.623263848337633);",300,8,0.0,1.0,1,1203.331409395,4,0,0.25333314333333345,10,1,1,med,12
"((10,9):0.5875219023192585,(7,8):3.3277249041875043,((1,((2,(3,#H11:::0.4681025555111954):0.9168990224646674):0.49419761423864317,(4)#H11:::0.5318974444888046):0.5037694504469106):0.4735720543390004,(6,5):2.0686830230124866):0.5844667434291166);",300,4,0.0,1.0,1,1316.702499584,4,2,0.2452379333333334,10,1,1,med,14
"(9,((7,8):2.7687699412881868,((6,5):2.0209018028596493,(1,((2,(3,#H11:::0.455287532323304):0.7376167043197877):0.5834137685303216,(4)#H11:::0.544712467676696):0.4507245470721372):0.6535988631796981):0.4993082330398791):0.6178689101462528,10);",300,16,0.0,1.0,1,628.315665338,4,2,0.2485712433333334,10,1,1,med,17
"((10,9):0.5875219023192585,(7,8):3.3277249041875043,((1,((2,(3,#H11:::0.4681025555111954):0.9168990224646674):0.49419761423864317,(4)#H11:::0.5318974444888046):0.5037694504469106):0.4735720543390004,(6,5):2.0686830230124866):0.5844667434291166);",300,8,0.0,1.0,1,1126.724698053,4,2,0.2452379333333334,10,1,1,med,14
"(10,((7,8):2.3663129081173446,((5,6):1.8968154069565666,(1,((4,#H11:::0.37963084989663887):0.5480489059189925,(2,(3)#H11:::0.6203691501033611):0.5480489059189925):0.5900717516605065):0.52893237112292):0.7118068243986374):0.5543800537255732,9);",300,8,0.0,1.0,1,476.132104576,0,2,0.2628569700000001,10,1,1,med,19
"(7,8,((9,10):0.5874645977999843,((6,5):2.2208280371424656,(1,((2,#H11:::0.4410223453685542):0.7258589273197971,(4,(3)#H11:::0.5589776546314458):0.7258589273197971):0.7670787375406446):0.6842890113810877):0.5849665149001433):2.997982134670477);",300,4,0.0,1.0,1,1670.4350849,0,0,0.2428569633333334,10,1,1,med,11
"(9,((7,8):2.7687699412881868,((6,5):2.0209018028596493,(1,((2,(3,#H11:::0.455287532323304):0.7376167043197877):0.5834137685303216,(4)#H11:::0.544712467676696):0.4507245470721372):0.6535988631796981):0.4993082330398791):0.6178689101462528,10);",300,8,0.0,1.0,1,855.464109032,4,2,0.2485712433333334,10,1,1,med,17
"((((2,3):0.17082398737188012,4):0.45734663149303445,(1)#H11:::0.7454406913982836):0.9732019221645857,(6,5):1.8409270282538892,(((9,10):0.5688233332723799,(8,7):2.9624868033854375):0.4562475966481641,#H11:::0.25455930860171644):0.16814989433237446);",300,4,0.0,1.0,1,2734.28613302,4,2,0.2547617333333335,10,1,1,med,5
"(10,9,((8,7):3.3318878298532653,((((3,4):0.16062523775847606,2):0.5420144832561073,(1)#H11:::0.7552731932598219):0.8502052927852387,((5,6):1.871392175946256,#H11:::0.24472680674017808):0.14225274429255788):0.5649772765595384):0.6699178202523665);",300,16,0.0,1.0,1,1247.215423687,4,0,0.2542855433333334,10,1,1,med,16
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,16,0.0,1.0,1,514.334667992,4,0,0.24999983666666675,10,1,1,med,20
"(10,((7,8):2.3663129081173446,((5,6):1.8968154069565666,(1,((4,#H11:::0.37963084989663887):0.5480489059189925,(2,(3)#H11:::0.6203691501033611):0.5480489059189925):0.5900717516605065):0.52893237112292):0.7118068243986374):0.5543800537255732,9);",300,16,0.0,1.0,1,537.778754162,0,2,0.2628569700000001,10,1,1,med,19
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,8,0.0,1.0,1,530.764561072,4,0,0.24999983666666675,10,1,1,med,20
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,8,0.0,1.0,1,628.754534269,4,2,0.2552379233333334,10,1,1,med,21
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,16,0.0,1.0,1,836.493965751,0,0,0.23571411000000012,10,1,1,med,18
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,16,0.0,1.0,1,601.672530773,4,2,0.2552379233333334,10,1,1,med,21
"(10,((7,8):2.3663129081173446,((5,6):1.8968154069565666,(1,((4,#H11:::0.37963084989663887):0.5480489059189925,(2,(3)#H11:::0.6203691501033611):0.5480489059189925):0.5900717516605065):0.52893237112292):0.7118068243986374):0.5543800537255732,9);",300,4,0.0,1.0,1,986.374418796,0,2,0.2628569700000001,10,1,1,med,19
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,8,0.0,1.0,1,1157.347654732,0,0,0.23571411000000012,10,1,1,med,18
"(((8,7):2.7406214820344985,(10,9):0.5471029539733377):0.5658647883570681,((6,#H11:0.48729171696222534::0.03649277176167455):1.3622112951533218,5):2.443200163421542,((1,((4,3):0.15175248437708755,2):0.6937272779502158):0.6891297062439745)#H11:0.0::0.9635072282383255);",300,4,0.0,1.0,1,1055.550720249,4,0,0.24999983666666675,10,1,1,med,20
"(10,9,((8,7):2.4175698953653124,((((4,3):0.1677411075370043,2):0.696142918472871,(1,#H11:0.0::0.1616364767111089):0.1718268856702438):0.8738522323148121,((6,5):1.7072366691688194)#H11:0.27707780219432226::0.8383635232888911):0.37242816457027855):0.623263848337633);",300,4,0.0,1.0,1,1951.207730631,4,0,0.25333314333333345,10,1,1,med,12
"(9,10,((7,8):2.5531130255387677,((5,6):1.9442588175153313,(((3,(2)#H11:::0.7114007464470979):0.606376437162069,4):1.0133121081184395,(1,#H11:::0.2885992535529021):1.9433229256221986e-5):0.5375068431971045):0.5631002188677512):0.6065451773186739);",300,4,0.0,1.0,1,1077.8824752,4,2,0.2552379233333334,10,1,1,med,21
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,8,0.0,1.0,1,947.023765965,0,2,0.26857124000000016,10,1,1,med,22
"(9,((7,8):2.7687699412881868,((6,5):2.0209018028596493,(1,((2,(3,#H11:::0.455287532323304):0.7376167043197877):0.5834137685303216,(4)#H11:::0.544712467676696):0.4507245470721372):0.6535988631796981):0.4993082330398791):0.6178689101462528,10);",300,4,0.0,1.0,1,1666.198557673,4,2,0.2485712433333334,10,1,1,med,17
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,8,0.0,1.0,1,942.442400173,4,2,0.25523791000000007,10,1,1,med,23
"(10,9,((8,7):3.3318878298532653,((((3,4):0.16062523775847606,2):0.5420144832561073,(1)#H11:::0.7552731932598219):0.8502052927852387,((5,6):1.871392175946256,#H11:::0.24472680674017808):0.14225274429255788):0.5649772765595384):0.6699178202523665);",300,8,0.0,1.0,1,1500.808704965,4,0,0.2542855433333334,10,1,1,med,16
"(((8,7):2.849109197954843,(9,10):0.6323987481982375):0.5646653421588889,(((2,#H15:::0.43440541708523017):0.4644529224650348,(4,(3)#H15:::0.5655945829147697):0.4644529224650348):0.7735783190235879,1):0.6347254478562306,(6,5):2.3893333694639796);",300,4,0.0,1.0,1,1760.98535186,0,0,0.23571411000000012,10,1,1,med,18
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,16,0.0,1.0,1,569.323694362,6,2,0.2509522166666667,10,1,1,med,24
"(2,(3,(4)#H11:::0.6580212655679791):0.6059794168254587,((1,((5,6):1.8219946783466718,((7,8):2.8829105032368223,(9,10):0.6133851610601365):0.6211350630700436):0.4636673756964032):1.280963957973477e-7,#H11:::0.3419787344320209):0.9836756030625033);",300,8,0.0,1.0,1,482.370951935,4,0,0.27428553666666683,10,1,1,med,27
"(2,(3,(4)#H11:::0.6580212655679791):0.6059794168254587,((1,((5,6):1.8219946783466718,((7,8):2.8829105032368223,(9,10):0.6133851610601365):0.6211350630700436):0.4636673756964032):1.280963957973477e-7,#H11:::0.3419787344320209):0.9836756030625033);",300,16,0.0,1.0,1,491.490223524,4,0,0.27428553666666683,10,1,1,med,27
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,16,0.0,1.0,1,791.651141002,4,2,0.25523791000000007,10,1,1,med,23
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,8,0.0,1.0,1,898.984104304,6,2,0.2509522166666667,10,1,1,med,24
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,16,0.0,1.0,1,1046.051500095,0,2,0.26857124000000016,10,1,1,med,22
"(10,9,(((6,5):2.5604053515999814,((3,((2,4):0.0)#H11:0.0::0.6158029765321584):2.5096319214567027,(1,#H11:0.01688244452926583::0.3841970234678416):5.7714828582252516e-5):0.627164413867091):0.5750204613594384,(7,8):3.0927352427985157):0.70331709664781);",300,4,0.0,1.0,1,1143.748990846,6,2,0.2509522166666667,10,1,1,med,24
"(8,7,((10,9):0.6077899287588112,((6,5):1.8193586277292275,(((4,(3,(2)#H11:::0.8049638382010336):0.4625938695293125):1.0362119779439631,1):0.13956009206602782,#H11:::0.19503616179896646):0.5227472387663153):0.5914609328801251):3.1802606814296377);",300,4,0.0,1.0,1,1289.616758326,4,2,0.25523791000000007,10,1,1,med,23
"(9,(((((2,(3)#H11:::0.5168308716015562):0.5546033052212916,(4,#H11:::0.4831691283984439):0.5546033052212916):0.653080223439637,1):0.5840539397959172,(6,5):1.9595645924235892):0.5953029344975788,(7,8):3.070617451910868):0.547782878507122,10);",300,4,0.0,1.0,1,1455.097074788,0,2,0.26857124000000016,10,1,1,med,22
"(9,10,((7,8):2.947784743088509,((6,5):1.935357764908052,((4,(3,(2)#H13:::0.7356797469049421):0.32975577549844654):1.033177911232202,(1,#H13:::0.26432025309505797):0.09743539080696197):0.607326132663286):0.6123501962522437):0.6515028851951208);",300,8,0.0,1.0,1,963.996398906,4,2,0.2504760166666668,10,1,1,med,26
"(9,((7,8):3.2493333184192843,((6,5):2.128579046070251,(1,((4,(3)#H11:::0.46987428476976095):0.8291040660641678,(2,#H11:::0.530125715230239):0.8291040660641678):0.6819888063262906):0.6309591128413773):0.7205949996592396):0.4794849796342682,10);",300,16,0.0,1.0,1,623.125662997,0,2,0.23047600333333335,10,1,1,med,28
"(6,5,(((7,8):2.9238488713859585,(9,10):0.5020129102410886):0.6207681101006607,(((3,(4)#H11:::0.765732006950844):0.45976871767406013,2):0.9700638292066732,(1,#H11:::0.23426799304915602):0.13745318482999702):0.5691235056949455):1.8232466481057559);",300,8,0.0,1.0,1,976.232354337,4,0,0.24809506666666678,10,1,1,med,25
"(6,5,(((7,8):2.9238488713859585,(9,10):0.5020129102410886):0.6207681101006607,(((3,(4)#H11:::0.765732006950844):0.45976871767406013,2):0.9700638292066732,(1,#H11:::0.23426799304915602):0.13745318482999702):0.5691235056949455):1.8232466481057559);",300,16,0.0,1.0,1,922.504904327,4,0,0.24809506666666678,10,1,1,med,25
"(((4,3):0.18623819349627968,(2,#H11:::0.31027218078195273):0.0):1.2387435343835658,(((7,8):2.89493172277421,(9,10):0.7459765631474488):0.5020924695171108,(6,5):1.9281439311373612):0.2748207175030705,(1)#H11:::0.6897278192180473);",300,8,0.0,1.0,1,783.169636404,2,0,0.2676188733333335,10,1,1,med,29
"(9,((7,8):3.2493333184192843,((6,5):2.128579046070251,(1,((4,(3)#H11:::0.46987428476976095):0.8291040660641678,(2,#H11:::0.530125715230239):0.8291040660641678):0.6819888063262906):0.6309591128413773):0.7205949996592396):0.4794849796342682,10);",300,8,0.0,1.0,1,856.575861951,0,2,0.23047600333333335,10,1,1,med,28
"(9,10,((7,8):2.947784743088509,((6,5):1.935357764908052,((4,(3,(2)#H13:::0.7356797469049421):0.32975577549844654):1.033177911232202,(1,#H13:::0.26432025309505797):0.09743539080696197):0.607326132663286):0.6123501962522437):0.6515028851951208);",300,16,0.0,1.0,1,1054.93649293,4,2,0.2504760166666668,10,1,1,med,26
